sexe;deptgeo;deptgeo_Autre;deptformation;niveau;reprise;alternant;bourse;travail;logement;logement_Autre;fumer;alimentation;sante;fan;sport;raisonnonsuaps;raisonnonsuaps_Autre;sportavant;typessportavant_1;typessportavant_2;typessportavant_3;typessportavant_4;typessportavant_5;typessportavant_6;typessportavant_7;typessportavant_8;typessportavant_9;typessportavant_Autre;raisonarretsport;raisonarretsport_Autre;covid;raisonjamaissport;raisonjamaissport_Autre;cadresport_1;cadresport_2;sportsuaps_1;sportsuaps_2;sportsuaps_3;sportsuaps_4;sportsuaps_5;sportsuaps_6;sportsuaps_7;heuressuaps;bonif;satisfsuaps;raisonnonsatisfsuaps_1;raisonnonsatisfsuaps_2;raisonnonsatisfsuaps_3;raisonnonsatisfsuaps_4;raisonnonsatisfsuaps_Autre;lieu_1;lieu_2;lieu_3;lieu_Autre;sportsnonsuaps_1;sportsnonsuaps_2;sportsnonsuaps_3;sportsnonsuaps_4;sportsnonsuaps_5;sportsnonsuaps_6;sportsnonsuaps_7;sportsnonsuaps_8;sportsnonsuaps_9;sportsnonsuaps_Autre;cadrenonsuaps_1;cadrenonsuaps_2;tempsnonsuaps;compet;motiv;motiv_Autre;passersport;argument;argument_Autre;refairesport;reussite
Un homme;17;;SD;BUT3;Non;Non;Non;Non;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Escalade;;;;;;;2h;Non;Oui;;;;;;A Niort;;;;Autre;;;;;;;;;salle de sport;Club, association;;3h;Non;Etre en forme;;Je ne peux pas l'envisager;;;;Moyennement d'accord
Un homme;17;;SD;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Natation;Escalade;;;;;;3h ou plus;Non;Oui;;;;;;A Niort;Près de votre domicile familial;;;Sport d'eau;Running, athlétisme;;;;;;;;;Pratique libre;;2h;Non;Evacuer les tensions;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;79;;SD;BUT3;Non;Oui;;;Domicilié.e chez vos (ou un de vos ) parents;;Non;Non;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;;Futsal;Natation;;;;;;2h;Oui;Oui;;;;;;;;;;;;;;;;;;;;;;;;S'amuser;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;Autre;49;SD;BUT3;Non;Oui;;;Locataire;;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Badminton;;;;;;;2h;Non;Oui;;;;;;A Niort;Près de votre domicile familial;;;Gym, fitness, zumba...;Running, athlétisme;;;;;;;;;Pratique libre;;2h;Non;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;Autre;35;SD;BUT3;Non;Non;Non;Non;Locataire;;Non;Non;Non;Non;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;;Badminton;;;;;;;2h;Non;Oui;;;;;;;;;;;;;;;;;;;;;;;;S'amuser;;Oui sans trop de problème;;;;Moyennement d'accord
Un homme;Autre;03;SD;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Non;Les activités proposées ne vous conviennent pas;;Oui;Autre;;;;;;;;;judo;Autre;déménagement;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Un problème de santé;;;Moyennement d'accord
Un homme;79;;SD;BUT3;Non;Oui;;;Domicilié.e chez vos (ou un de vos ) parents;;Oui;Oui;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;Autre;;Gym, fitness, zumba...;Sport d'eau;Running, athlétisme;;;;;;;;Pratique libre;;4h ou plus;Non;Etre en forme;;Ce serait difficile;;;;Moyennement d'accord
Un homme;Autre;21;SD;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;;Badminton;;;;;;;2h;Oui;Oui;;;;;;;;;;;;;;;;;;;;;;;;Etre en forme;;Je ne peux pas l'envisager;;;;
Un homme;79;;SD;BUT3;Non;Non;Non;Non;Locataire;;Non;Oui;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Sport de raquette;;;;;;;;;;Club, association;;1h;Non;Etre en forme;;Ce serait difficile;;;;Moyennement d'accord
Un homme;86;;SD;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;;Badminton;;;;;;;2h;Non;Oui;;;;;;;;;;;;;;;;;;;;;;;;Etre en forme;;Oui sans trop de problème;;;;Tout à fait d'accord
Une femme;79;;SD;BUT3;Non;Oui;;;Domicilié.e chez vos (ou un de vos ) parents;;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Badminton;;;;;;;2h;Oui;Oui;;;;;;A Niort;;;;Autre;;;;;;;;;musculation, dancehall;Club, association;;4h ou plus;Non;Evacuer les tensions;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;79;;SD;BUT3;Non;Oui;;;Domicilié.e chez vos (ou un de vos ) parents;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Gym, fitness, zumba...;;;;;;;;;;Pratique libre;;4h ou plus;Non;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;Autre;45;SD;BUT3;Non;Non;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Badminton;;;;;;;2h;;Oui;;;;;;A Niort;;;;Running, athlétisme;Gym, fitness, zumba...;;;;;;;;;Pratique libre;;4h ou plus;Non;Etre en forme;;Je ne peux pas l'envisager;;;;Moyennement d'accord
Une femme;79;;SD;BUT3;Non;Oui;;;Locataire;;Non;Non;Oui;Oui;Non;Autre;pas de motivation;Non;;;;;;;;;;;;;;Manque de temps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Un accès plus facile aux équipements/cours;;Oui;Moyennement d'accord
Un homme;Autre;13;SD;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Sport d'eau;Running, athlétisme;Cyclisme;Gym, fitness, zumba...;;;;;;;Pratique libre;;4h ou plus;Oui;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;86;;SD;BUT3;Non;Non;Non;Non;Locataire;;Non;Non;Non;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Badminton;;;;;;;2h;Non;Oui;;;;;;A Niort;;;;Cyclisme;;;;;;;;;;Pratique libre;;1h;Non;Etre en forme;;Oui sans trop de problème;;;;Tout à fait d'accord
Un homme;79;;SD;BUT3;Non;Oui;;;Domicilié.e chez vos (ou un de vos ) parents;;Non;Non;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Gym, fitness, zumba...;;;;;;;;;;Pratique libre;;4h ou plus;Non;Evacuer les tensions;;Je ne peux pas l'envisager;;;;Moyennement d'accord
Un homme;79;;SD;BUT1;Non;Non;Oui;Non;Domicilié.e chez vos (ou un de vos ) parents;;Oui;Oui;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Gym, fitness, zumba...;;;;;;;;;;Pratique libre;;3h;Non;Etre en forme;;Oui sans trop de problème;;;;Moyennement d'accord
Un homme;85;;SD;BUT1;Non;Non;Non;Non;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Sport de raquette;;;;;;;;;;Club, association;;4h ou plus;Oui;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;85;;SD;BUT1;Non;Non;Non;Non;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Sport collectif auttre que foot;;;;;;;;;;Club, association;;3h;Oui;S'amuser;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;86;;SD;BUT1;Oui;Non;Non;Non;Locataire;;Non;Non;Non;Non;Non;Vous n'avez pas envie de faire du sport;;Oui;Football;Sport collectif autre que foot;Autre;;;;;;;Judo;Difficultés pratiques;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Non;Moyennement d'accord
Un homme;79;;SD;BUT1;Non;Non;Non;Non;Domicilié.e chez vos (ou un de vos ) parents;;Oui;Non;Non;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Autre;;;;;;;;;Musculation;Pratique libre;;3h;Non;Evacuer les tensions;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;79;;SD;BUT1;Non;Non;Non;Oui;Domicilié.e chez vos (ou un de vos ) parents;;Non;Non;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Autre;;;;;;;;;Tennis;Club, association;;4h ou plus;Oui;S'amuser;;Ce serait difficile;;;;Pas vraiment d'accord
Un homme;Autre;56;SD;BUT1;Non;Non;Non;Non;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Running, athlétisme;;;;;;;;;;Pratique libre;;1h;Non;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
